Store Number,City,Transaction_Count,Total_Revenue,Total_Bottles_Sold,Average_Transaction_Value,Average_Bottles_Per_Transaction,Average_Bottle_Retail,Premium_Product_Share,Unique_Products,Unique_Categories,Cluster,Cluster_Name,PCA1,PCA2
10003,IOWA CITY,29,1820.57,102,62.778275862068966,3.5172413793103448,21.599999999999998,0.4827586206896552,27,15,0,Premium Retail Stores,-0.009186200785750609,0.5991247238634791
10004,WEST BRANCH,6,920.8199999999999,90,153.47,15.0,12.433333333333332,0.16666666666666666,6,4,1,Standard Neighbourhood Stores,-2.048685615287791,0.34024997549377584
10005,IOWA CITY,16,1646.95,161,102.934375,10.0625,26.6125,0.375,16,10,0,Premium Retail Stores,-0.4431809765651267,1.3663669381715204
10016,PERRY,5,576.65,55,115.33,11.0,13.681999999999999,0.2,5,3,1,Standard Neighbourhood Stores,-2.6268804275862387,0.24347891602357943
10019,OELWEIN,7,645.18,42,92.16857142857143,6.0,30.555714285714288,0.2857142857142857,7,6,0,Premium Retail Stores,-2.1694581586028905,1.425712572246277
10020,PANORA,21,2063.08,91,98.24190476190476,4.333333333333333,24.700000000000003,0.5714285714285714,21,16,0,Premium Retail Stores,-0.07616132940336982,1.433980190187102
10021,BONDURANT,9,1001.71,54,111.30111111111111,6.0,23.405555555555555,0.4444444444444444,9,8,0,Premium Retail Stores,-1.5909905606973742,1.3817713280757802
10024,WEST DES MOINES,9,520.14,29,57.79333333333333,3.2222222222222223,21.023333333333333,0.3333333333333333,7,5,0,Premium Retail Stores,-2.4548368023302003,0.5000725676892459
10025,URBANDALE,14,1121.9,150,80.13571428571429,10.714285714285714,12.093571428571428,0.14285714285714285,14,6,1,Standard Neighbourhood Stores,-1.1838042781649623,-0.5828764296347003
10028,CARTER LAKE,6,591.35,48,98.55833333333334,8.0,17.426666666666666,0.16666666666666666,6,5,1,Standard Neighbourhood Stores,-2.4901232362872365,0.1411225405136734
10029,DES MOINES,26,3393.17,390,130.50653846153847,15.0,26.14423076923077,0.34615384615384615,26,19,3,Balanced High-Performing Stores,0.9484271866731356,1.3455752289124774
10033,HIAWATHA,8,240.79000000000002,64,30.098750000000003,8.0,12.1575,0.25,8,7,1,Standard Neighbourhood Stores,-2.4979667106596044,-0.4582301416134252
10035,CLINTON,14,2025.42,297,144.67285714285714,21.214285714285715,17.690714285714286,0.14285714285714285,14,10,1,Standard Neighbourhood Stores,-0.3319832560549076,0.6309389980630429
10036,DUBUQUE,5,646.12,39,129.224,7.8,28.984,0.4,5,5,0,Premium Retail Stores,-2.369094462478888,2.045906262680073
10037,GLENWOOD,30,1553.35,90,51.77833333333333,3.0,19.488666666666667,0.3333333333333333,29,20,0,Premium Retail Stores,-0.02134112028243979,-0.2293328168745819
10038,WEST DES MOINES,19,2164.6,216,113.92631578947368,11.368421052631579,25.23526315789474,0.3684210526315789,19,11,0,Premium Retail Stores,-0.04442790854248398,1.2843801148884557
10039,ANKENY,19,3278.16,158,172.53473684210525,8.31578947368421,38.143157894736845,0.47368421052631576,19,12,0,Premium Retail Stores,0.26932311751219523,2.802616406104359
10040,HOSPERS,6,360.36,21,60.06,3.5,18.57166666666667,0.3333333333333333,6,5,0,Premium Retail Stores,-2.9401709057400747,0.3976960192048604
10045,BELLE PLAINE,5,676.0799999999999,48,135.21599999999998,9.6,17.114,0.2,5,3,1,Standard Neighbourhood Stores,-2.5725598577399844,0.5492853271641277
10049,REMSEN,6,847.06,37,141.17666666666665,6.166666666666667,21.736666666666665,0.5,6,6,0,Premium Retail Stores,-2.1242101295285787,1.718120533003108
10050,ANKENY,6,354.81,29,59.135,4.833333333333333,13.375,0.0,6,4,1,Standard Neighbourhood Stores,-3.1216140127912126,-1.077633261692372
10051,MARION,5,422.37,35,84.474,7.0,11.614,0.0,5,4,1,Standard Neighbourhood Stores,-3.0944359489780995,-0.9453816471491019
10053,SPRINGVILLE,6,355.84000000000003,33,59.30666666666667,5.5,20.175,0.5,6,5,0,Premium Retail Stores,-2.6419588028547034,1.1751996186681208
10057,ALTOONA,7,1047.58,76,149.6542857142857,10.857142857142858,14.404285714285715,0.42857142857142855,7,5,0,Premium Retail Stores,-1.7645917825331725,1.114212430832838
10058,DAVENPORT,10,590.95,109,59.095000000000006,10.9,10.548,0.0,10,7,1,Standard Neighbourhood Stores,-1.9089762809907052,-1.200190902241081
10060,ALTOONA,28,3235.01,634,115.53607142857143,22.642857142857142,16.682142857142857,0.25,26,15,3,Balanced High-Performing Stores,0.8960417084146505,0.587219078913564
10061,HIAWATHA,7,442.8,32,63.25714285714286,4.571428571428571,15.398571428571428,0.2857142857142857,7,4,1,Standard Neighbourhood Stores,-2.679325261224433,0.015553561134329734
10062,MONONA,6,1115.6399999999999,72,185.93999999999997,12.0,17.18166666666667,0.16666666666666666,6,6,1,Standard Neighbourhood Stores,-1.9285338164533175,0.7096003705640409
